-200 474,18
-198 746,09
-196 700,83
-194 491,49
-192 573,54
-190 602,64
-188 814,85
-186 413,85
-184 724,31
-182 155,35
-180 924,91
-178 733,62
-176 796,98
-174 107,98
-172 838,64
-170 538,11
-168 972,7
-166 263,82
-164 806,3
-162 812,79
-160 114,12
-158 196,14
-156 362,04
-154 238,26
-152 640,78
-150 239,66
-148 557,13
-146 341,61
-144 990,09
-142 738,71
-140 835,91
-138 382,22
-136 571,99
-134 922,81
-132 751,35
-130 218,34
-128 778,3
-126 720,34
-124 235,2
-122 627,27
-120 210,45
-118 852,37
-116 406,6
-114 738,32
-112 964,94
-110 602,98
-108 261,63
-106 597,9
-104 133,54
-102 157,36
-100 789,96
-98 718,67
-96 837,69
-94 313,74
-92 994,13
-90 577,21
-88 177,43
-86 614,87
-84 301,75
-82 315,15
-80 763,79
-78 173,86
-76 312,61
-74 330,17
-72 293,33
-70 989,28
-68 474,21
-66 179,1
-64 708,12
-62 618,86
-60 745,6
-58 216,25
-56 912,91
-54 860,55
-52 179,67
-50 299,9
-48 256,51
-46 234,13
-44 754,64
-42 224,22
-40 655,12
-38 136,54
-36 603,58
-34 342,19
-32 253,66
-30 796,15
-28 460,39
-26 713,57
-24 536,02
-22 628,03
-20 658,66
-18 600,04
-16 545,69
-14 383,3
-12 758,31
-10 383,4
-8 421,82
-6 532,67
-4 722,21
-2 660,87
0 176,5
2 288,37
4 563,64
6 997,4
8 107,7
10 171,24
12 729,95
14 112,53
16 631,76
18 642,94
20 121,23
22 500,02
24 158,5
26 399,63
28 276,69
30 307,86
32 842,16
34 789,06
36 960,28
38 705,33
40 317,94
42 163,26
44 500,84
46 784,07
48 475,32
50 270,06
52 117,99
54 768,59
56 640,16
58 641,53
60 477,07
62 661,06
64 607,53
66 605,95
68 646,29
70 550,87
72 711,17
74 425,92
76 466,76
78 738,48
80 115,89
82 917,77
84 221,28
86 692,7
88 478,16
90 259,09
92 644,82
94 434,65
96 371,66
98 481,47
100 188,21
102 467,43
104 347,7
106 778,78
108 679,82
110 232,79
112 139,5
114 229,86
116 470,73
118 135,72
120 411,78
122 995,44
124 476,71
126 561,34
128 587,98
130 999,11
132 943,91
134 502,66
136 368,62
138 660,09
140 471,35
142 271,52
144 920,13
146 519,03
148 862,13
150 590,51
152 398,52
154 844,35
156 383,8
158 324,81
160 956,67
162 379,37
164 587,53
166 964,02
168 648,71
170 198,94
172 171,55
174 792,68
176 357,13
178 472,42
180 804,04
182 325,64
184 975,74
186 272,58
188 977,56
190 462,33
192 569,94
194 306,76
196 567,46
198 877,52
200 152,55
